,,,1-مايو-2022,2-مايو-2022,3-مايو-2022,4-مايو-2022,5-مايو-2022,6-مايو-2022,7-مايو-2022,8-مايو-2022,9-مايو-2022,10-مايو-2022,11-مايو-2022,12-مايو-2022,13-مايو-2022,14-مايو-2022,15-مايو-2022,16-مايو-2022,17-مايو-2022,18-مايو-2022,19-مايو-2022,20-مايو-2022,21-مايو-2022,22-مايو-2022,23-مايو-2022,24-مايو-2022,25-مايو-2022,26-مايو-2022,27-مايو-2022,28-مايو-2022,29-مايو-2022,30-مايو-2022,31-مايو-2022,MONTH,
,,RO\RO - B,5٬535,5٬527,5٬547,5٬528,5٬502,5٬486,5٬526,5٬535,5٬571,5٬582,5٬611,5٬627,5٬605,5٬545,5٬486,5٬574,5٬637,5٬629,5٬628,5٬654,5٬682,5٬683,2٬137,3٬752,5٬762,5٬717,5٬716,5٬705,5٬696,5٬726,5٬753,168٬667,
,,RO\RO - C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,21,2,3,0,3,3,3,2,0,2,1,3,52,
,,RO\RO - D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,RO\RO - E,4٬551,5٬397,5٬412,5٬402,5٬396,5٬468,5٬751,5٬715,5٬687,5٬679,5٬710,5٬734,5٬716,5٬640,5٬563,1٬956,0,1٬645,5٬567,5٬584,5٬414,5٬968,2٬183,3٬838,5٬755,5٬721,5٬727,5٬725,5٬729,5٬753,5٬782,155٬169,
,,RO\RO - F,5٬711,5٬719,5٬739,5٬717,5٬674,5٬661,5٬725,5٬717,5٬720,5٬714,5٬749,5٬777,5٬741,5٬648,5٬568,5٬674,5٬751,5٬757,5٬767,5٬809,5٬536,6٬073,2٬328,3٬859,5٬928,5٬887,5٬880,5٬875,5٬876,5٬925,5٬958,173٬461,
,,RO\RO - G,19,22,19,0,26,19,18,12,11,0,15,17,57,15,0,0,0,0,0,0,32,24,0,21,0,0,0,0,14,6,8,355,
,,RO\RO - H,0,0,0,0,0,0,0,0,1,1,0,2٬981,5٬815,5٬688,5٬587,5٬679,5٬041,5٬588,5٬582,3٬898,5٬436,5٬708,2٬175,2٬652,0,12,0,0,0,265,0,62٬111,
,,RO\RO - J,5٬410,5٬416,5٬440,5٬422,5٬368,5٬328,5٬310,5٬322,5٬340,5٬337,5٬365,5٬401,2٬667,0,1٬553,5٬502,5٬537,5٬520,5٬508,5٬540,5٬567,5٬577,2٬136,3٬745,5٬517,5٬472,5٬458,5٬453,5٬448,5٬502,5٬535,151٬697,
,,RO\RO - K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,RO\RO - L,49,49,48,48,49,49,49,49,48,46,49,49,52,49,48,48,47,48,49,49,51,49,47,50,49,49,48,50,49,49,49,1٬513,
,,RO\RO - M,4٬487,5٬961,5٬920,5٬892,5٬870,5٬851,5٬817,5٬807,5٬793,5٬785,5٬820,5٬840,5٬831,5٬758,5٬689,5٬801,5٬892,5٬898,5٬902,5٬937,5٬934,5٬871,2٬236,3٬812,5٬859,5٬771,5٬775,5٬766,5٬768,5٬780,5٬829,173٬953,
,,RO\RO - N,2٬583,4٬396,4٬409,4٬395,4٬374,4٬348,4٬317,4٬291,4٬262,4٬251,4٬277,4٬299,4٬281,4٬209,4٬141,4٬221,4٬283,4٬288,4٬291,4٬325,4٬357,4٬385,1٬665,2٬963,4٬413,4٬380,4٬384,4٬388,4٬398,4٬428,4٬461,128٬466,
,,RO\RO - P,4٬760,4٬775,4٬796,4٬784,4٬771,4٬745,3٬856,728,1٬773,4٬499,4٬514,4٬531,4٬511,4٬441,4٬375,4٬452,4٬511,4٬510,4٬510,4٬540,4٬242,4٬690,1٬770,3٬203,4٬713,3٬650,0,0,2٬815,4٬761,4٬019,118٬244,
,,RO\RO - Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
